City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
417,Todos Santos,MX,69.22,clear sky,23.45,-110.2167,Guaycura Boutique Hotel Beach Club & Spa
422,Iberia,US,79.05,overcast clouds,29.9502,-91.7507,back to back rv park
424,Puerto Leguizamo,CO,78.49,overcast clouds,-0.1934,-74.7819,la casona de juancho
427,Cascais,PT,68.61,few clouds,38.6979,-9.4215,Hotel Vila Galé Cascais
429,Nouadhibou,MR,73.38,clear sky,20.931,-17.0347,El Medina
430,Zamora,EC,76.24,light rain,-4.0692,-78.9567,Cabañas Ecológicas Copalinga
431,Ciudad Real,ES,64.15,scattered clouds,39.0,-4.0,Casa de la Tia Sabina
434,Bud,US,77.02,overcast clouds,39.447,-86.1758,Ted McQuinn Trust
442,Concarneau,FR,65.19,broken clouds,47.875,-3.9225,Brit Hotel de L' Océan
443,Yeppoon,AU,65.98,overcast clouds,-23.1333,150.7333,Villa Mar Colina
446,Khandbari,NP,73.85,few clouds,27.3747,87.2039,Sainik Hotel And Lodge
449,Nosy Varika,MG,75.33,light rain,-20.5833,48.5333,Hotel Volazara
453,San Luis,AR,76.84,clear sky,-33.295,-66.3356,Huarpes Hotel
458,Florianopolis,BR,75.63,few clouds,-27.6146,-48.5012,Hotel Boutique Quinta das Videiras
464,Alice Springs,AU,62.15,overcast clouds,-23.7,133.8833,Desert Palms Alice Springs
467,Paignton,GB,64.65,broken clouds,50.4357,-3.5679,The Grand Hotel
469,Kose,TR,61.61,light rain,40.21,39.6511,Hicret Oteli
471,Fiumicino,IT,65.62,few clouds,41.7675,12.2291,Al Porticciolo Hotel
474,Mareeba,AU,74.12,light rain,-17.0,145.4333,Trinity Plains Tourist Park
475,Gamba,GA,79.43,moderate rain,-2.65,10.0,
478,Kabare,CD,64.31,overcast clouds,-2.4683,28.8242,Hôtel Panorama
479,Mweka,CD,76.66,overcast clouds,-4.85,21.5667,Guest House Boshab
480,Havelock,US,77.99,clear sky,34.8791,-76.9013,Sherwood Motel
484,Haslett,US,77.23,clear sky,42.747,-84.4011,Cottage Inn Pizza Okemos
487,Khash,IR,76.59,overcast clouds,28.2211,61.2158,خوابگاه آبجی محدثه
489,Marsa Matruh,EG,68.68,clear sky,31.3525,27.2453,Beau Site
493,Surt,LY,68.32,overcast clouds,31.2089,16.5887,الهادي ابوشعاله سرت
495,Dubovskoye,RU,65.55,light rain,47.4092,42.7575,Anzhi
496,Makakilo City,US,75.52,light intensity drizzle,21.3469,-158.0858,Marriott's Ko Olina Beach Club
500,Lufilufi,WS,74.98,broken clouds,-13.8745,-171.5986,Leuaina Beach Resort and Spa
504,Bubaque,GW,78.04,few clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
507,Clemmons,US,77.99,clear sky,36.0215,-80.382,Village Inn Hotel and Event Center | Trademark Collection by Wyndham
508,Carlsbad,US,74.17,clear sky,33.1581,-117.3506,Carlsbad Inn Beach Resort
511,Faya,SA,70.32,scattered clouds,18.3851,42.4509,املاك خالد الشعشوع
