City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
289,Ust-Nera,RU,64.5667,143.2,8.19,98,96,4.23,overcast clouds
290,Yining,CN,29.0361,114.5636,72.7,91,50,3.09,scattered clouds
291,Sorland,NO,67.667,12.6934,43.14,92,100,11.39,overcast clouds
292,Mandan,US,46.8267,-100.8896,35.58,87,20,28.77,light intensity drizzle
293,Kapaa,US,22.0752,-159.319,75.18,86,75,18.41,broken clouds
294,Solnechnyy,RU,50.7214,136.6319,18.28,93,58,5.35,broken clouds
295,Sioux Lookout,CA,50.1001,-91.917,39.27,100,100,6.91,mist
296,Kiama,AU,-34.6833,150.8667,62.08,89,100,1.01,overcast clouds
297,Americana,BR,-22.7392,-47.3314,86.0,51,0,0.92,clear sky
298,Keuruu,FI,62.2667,24.7,48.79,56,48,7.4,scattered clouds
299,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,78.84,67,81,9.55,broken clouds
300,Flin Flon,CA,54.7682,-101.865,24.64,58,40,13.8,scattered clouds
301,Kodiak,US,57.79,-152.4072,40.51,87,100,11.5,overcast clouds
302,Nantucket,US,41.2835,-70.0995,51.91,55,0,14.97,clear sky
303,Palmer,US,42.1584,-72.3287,51.55,41,100,4.61,overcast clouds
304,Lashio,MM,22.9333,97.75,74.34,46,0,2.19,clear sky
305,Puerto Madryn,AR,-42.7692,-65.0385,66.42,28,100,29.04,overcast clouds
306,Quatre Cocos,MU,-20.2078,57.7625,76.08,75,99,20.18,light rain
307,Ziro,IN,27.6333,93.8333,52.34,95,50,1.83,scattered clouds
308,Mantua,IT,45.1667,10.7833,62.06,64,97,5.99,overcast clouds
309,Bulolo,PG,-7.2,146.65,68.49,97,99,1.36,overcast clouds
310,Richards Bay,ZA,-28.783,32.0377,73.99,83,37,9.84,scattered clouds
311,Kaitangata,NZ,-46.2817,169.8464,51.89,81,100,13.6,overcast clouds
312,Witney,GB,51.7836,-1.4854,62.58,50,20,17.27,few clouds
313,Naze,JP,28.3667,129.4833,68.92,90,54,8.41,broken clouds
314,Champerico,GT,14.3,-91.9167,86.54,68,1,4.12,clear sky
315,Hokitika,NZ,-42.7167,170.9667,52.36,86,78,6.33,broken clouds
316,San Jose,US,37.3394,-121.895,56.86,86,20,5.75,few clouds
317,Goure,NE,13.9835,10.2704,108.01,7,58,9.01,broken clouds
318,Riyadh,SA,24.6877,46.7219,86.14,12,92,12.1,overcast clouds
319,Camacha,PT,33.0833,-16.3333,63.82,63,40,17.27,scattered clouds
320,High Level,CA,58.5169,-117.136,33.91,75,75,11.5,broken clouds
321,Ahuimanu,US,21.4447,-157.8378,76.71,79,40,16.11,scattered clouds
322,Qaqortoq,GL,60.7167,-46.0333,39.79,82,77,6.82,broken clouds
323,La Palma,US,33.8464,-118.0467,75.87,57,0,4.61,clear sky
324,Severnyy,RU,50.677,36.5532,57.24,77,75,0.0,broken clouds
325,Araripina,BR,-7.5761,-40.4983,86.68,38,89,11.16,overcast clouds
326,Trim,IE,53.555,-6.7917,55.83,60,5,16.75,clear sky
327,Lompoc,US,34.6391,-120.4579,67.78,77,0,8.99,clear sky
328,Te Anau,NZ,-45.4167,167.7167,46.36,86,56,1.03,broken clouds
329,Westport,US,41.1415,-73.3579,62.31,49,0,16.11,clear sky
330,Morro Bay,US,35.3658,-120.8499,64.74,58,2,7.38,clear sky
331,Kitaibaraki,JP,36.7833,140.75,56.14,84,100,3.94,overcast clouds
332,Bengkulu,ID,-3.8004,102.2655,77.47,91,59,3.62,broken clouds
333,Dotnuva,LT,55.35,23.9,44.89,94,100,10.13,overcast clouds
334,Saint-Pierre,RE,-21.3393,55.4781,76.68,71,75,20.71,broken clouds
335,Egvekinot,RU,66.3167,-179.1667,9.57,93,86,6.64,overcast clouds
336,Tateyama,JP,34.9833,139.8667,61.11,90,100,9.6,overcast clouds
337,Tigil,RU,57.8,158.6667,25.74,93,100,3.98,overcast clouds
338,Staunton,US,38.1496,-79.0717,81.52,52,0,6.91,clear sky
339,Mayumba,GA,-3.432,10.6554,81.01,80,100,6.15,overcast clouds
340,Hamilton,US,39.1834,-84.5333,77.76,55,75,18.41,broken clouds
341,Troitskoye,RU,52.9821,84.6757,33.15,58,38,1.28,scattered clouds
342,Ambon,ID,-3.6954,128.1814,80.74,83,40,6.91,scattered clouds
343,Kannod,IN,22.6667,76.7333,96.17,12,2,9.28,clear sky
344,Upernavik,GL,72.7868,-56.1549,7.52,81,58,10.56,broken clouds
345,Waipawa,NZ,-41.4122,175.5153,51.67,87,99,7.18,moderate rain
346,Minsk,BY,53.9,27.5667,49.75,87,100,8.48,overcast clouds
347,Belaya Gora,RU,68.5333,146.4167,-3.73,100,76,4.47,broken clouds
